mgnify	msp
MGYG000002319	msp_0408
MGYG000004433	msp_0110:0.31713223359907144,msp_1076:0.6828677664009285
MGYG000004075	msp_1171
MGYG000001251	msp_1698
MGYG000000031	msp_1038
MGYG000000690	msp_0499
MGYG000004033	msp_0657
MGYG000002133	msp_0598
MGYG000001338	msp_0076
MGYG000004385	msp_0548
MGYG000004790	msp_1108
MGYG000004313	msp_0715c
MGYG000002170	msp_1183
MGYG000000233	msp_0906
MGYG000001157	msp_0407
MGYG000004716	msp_0840
MGYG000001194	msp_0518
MGYG000002499	msp_0209
MGYG000004611	msp_0538
MGYG000001973	msp_1458
MGYG000004063	msp_1631
MGYG000002412	msp_0080
MGYG000002336	msp_0197
MGYG000001299	msp_0852
MGYG000003017	msp_0288
MGYG000002099	msp_0348
MGYG000000500	msp_0643
MGYG000004020	msp_1847
MGYG000001527	msp_0350
MGYG000004200	msp_0734
MGYG000000442	msp_0351
MGYG000002445	msp_0346
MGYG000001294	msp_0145
MGYG000001975	msp_0746
MGYG000002268	msp_0103:0.33659801145685575,msp_1700:0.6634019885431442
MGYG000000249	msp_0152
MGYG000001062	msp_1131
MGYG000002724	msp_0932
MGYG000004558	msp_0524
MGYG000000159	msp_0274
MGYG000002352	msp_1339
MGYG000001754	msp_1707
MGYG000001698	msp_0181
MGYG000002394	msp_0067
MGYG000004412	msp_0682
MGYG000001933	msp_0918
MGYG000000018	msp_0179
MGYG000001103	msp_1347c
MGYG000004296	msp_0733
MGYG000001819	msp_0793
MGYG000003932	msp_0839
MGYG000001347	msp_0610
MGYG000001893	msp_0707
MGYG000000107	msp_0140
MGYG000002018	msp_0358
MGYG000002073	msp_0456
MGYG000004471	msp_1575
MGYG000004132	msp_0688
MGYG000000718	msp_0596
MGYG000002105	msp_0953
MGYG000002529	msp_0368c
MGYG000004595	msp_0573:0.11986441438667315,msp_0595:0.4879224329797287,msp_1217:0.3922131526335982
MGYG000000884	msp_0654
MGYG000003814	msp_1045
MGYG000001695	msp_0245
MGYG000000420	msp_1575
MGYG000001097	msp_0176
MGYG000004498	msp_0955
MGYG000000894	msp_0030:0.2863755901616543,msp_0192:0.17905008239593614,msp_0346:0.04745096027459869,msp_0457:0.08144932871876992,msp_0521:0.045081796780146545,msp_1067:0.08043503360975499,msp_1251:0.2801572080591395
MGYG000001231	msp_0666
MGYG000001224	msp_0933
MGYG000003682	msp_0172
MGYG000004232	msp_0883:0.41230763232502426,msp_1908:0.5876923676749758
MGYG000002571	msp_1988
MGYG000000452	msp_0310
MGYG000000451	msp_0847
MGYG000001694	msp_0497
MGYG000001772	msp_2134
MGYG000000611	msp_1009
MGYG000002185	msp_1903
MGYG000002001	msp_0343
MGYG000004053	msp_1829
MGYG000003214	msp_0448
MGYG000003326	msp_0309
MGYG000000602	msp_0800
MGYG000000971	msp_0073
MGYG000001502	msp_1012
MGYG000000723	msp_0105
MGYG000000179	msp_0056
MGYG000002409	msp_0573:0.11381571855278912,msp_0638:0.566300144591847,msp_1339:0.3198841368553639
MGYG000004052	msp_0298
MGYG000000070	msp_0342
MGYG000000144	msp_0059
MGYG000004642	msp_0740
MGYG000000051	msp_0473c
MGYG000001420	msp_0381
MGYG000000250	msp_0175
MGYG000000123	msp_0113
MGYG000000141	msp_0930
MGYG000001649	msp_0434
MGYG000004390	msp_0229
MGYG000002125	msp_1086
MGYG000001324	msp_1783
MGYG000001655	msp_0117
MGYG000001089	msp_0697
MGYG000002681	msp_0908
MGYG000001531	msp_0066
MGYG000004269	msp_0756
MGYG000002121	msp_0744
MGYG000004663	msp_1444
MGYG000004616	msp_0467:0.13617659317653685,msp_0471:0.16737542119137772,msp_1013:0.3327600787157116,msp_1060c:0.2626792104675467,msp_1637:0.10100869644882707
MGYG000000065	msp_0674
MGYG000000446	msp_1455
MGYG000002031	msp_0957
MGYG000001867	msp_0794:0.4344569288389513,msp_0836:0.5655430711610487
MGYG000001110	msp_0586
MGYG000002248	msp_1306c
MGYG000002135	msp_1356
MGYG000004526	msp_0654
MGYG000000700	msp_0667
MGYG000002002	msp_1162
MGYG000000675	msp_0061
MGYG000000038	msp_0307
MGYG000001253	msp_0786:0.25775193798449614,msp_0813:0.7422480620155039
MGYG000004078	msp_1612
MGYG000001598	msp_1484
MGYG000004369	msp_0387
MGYG000000059	msp_0977
MGYG000003656	msp_0291
MGYG000003972	msp_0719
MGYG000004472	msp_0556
MGYG000004236	msp_1279
MGYG000001989	msp_1185
MGYG000002016	msp_0732
MGYG000004083	msp_0584
MGYG000002033	msp_0264
MGYG000002653	msp_0339
MGYG000004658	msp_0089
MGYG000004176	msp_1347c
MGYG000001671	msp_0939
MGYG000004474	msp_0511
MGYG000004488	msp_1389
MGYG000004416	msp_1095
MGYG000004622	msp_0738
MGYG000000171	msp_0722
MGYG000001218	msp_0354:0.19909711730864116,msp_0751:0.8009028826913588
MGYG000000877	msp_0612
MGYG000000810	msp_0749
MGYG000001018	msp_0234:0.06075678425267978,msp_0812:0.1863931408273927,msp_1640:0.4743857525424468,msp_1949:0.27846432237748076
MGYG000001230	msp_1267
MGYG000004593	msp_0168
MGYG000004124	msp_1132
MGYG000004815	msp_0588
MGYG000004173	msp_1053
MGYG000000259	msp_1236
MGYG000001614	msp_1088
MGYG000003822	msp_0014:0.059309563766988975,msp_0052:0.1287419800970796,msp_0072:0.10683013637537564,msp_0129:0.27567617251594717,msp_0233:0.09654278990959872,msp_0550:0.07814302505205613,msp_0706:0.03583727974469995,msp_0722:0.12067848738699839,msp_0780:0.09824056515125537
MGYG000002672	msp_0699
MGYG000001619	msp_0233
MGYG000004758	msp_0980
MGYG000002438	msp_0012
MGYG000004605	msp_0614:0.3146167557932264,msp_0880:0.6853832442067737
MGYG000000108	msp_0626
MGYG000002673	msp_0471
MGYG000002804	msp_1141
MGYG000000741	msp_0453
MGYG000001901	msp_1011
MGYG000004431	msp_0074
MGYG000001574	msp_1152
MGYG000000075	msp_1682c
MGYG000003954	msp_0863
MGYG000004664	msp_1159
MGYG000000715	msp_0761
MGYG000002365	msp_0469c:0.34546626221444393,msp_0916:0.654533737785556
MGYG000001313	msp_0036
MGYG000001824	msp_0822
MGYG000001919	msp_0106
MGYG000004319	msp_1033
MGYG000001878	msp_0528
MGYG000001832	msp_0253
MGYG000003978	msp_0461:0.34731920870960414,msp_1699:0.6526807912903958
MGYG000002202	msp_0524
MGYG000004122	msp_1060c
MGYG000001189	msp_0065:0.1867870446793533,msp_0076:0.12426402872707376,msp_0162:0.35980469978168556,msp_0208:0.12371402968690205,msp_0558:0.20543019712498542
MGYG000004401	msp_1417
MGYG000001312	msp_0936c
MGYG000001632	msp_0205
MGYG000002538	msp_0030
MGYG000002810	msp_0692
MGYG000003820	msp_0487
MGYG000001613	msp_1193
MGYG000003584	msp_1218
MGYG000000623	msp_0208:0.8296849919951464,msp_1388:0.1703150080048535
MGYG000002447	msp_0239
MGYG000003310	msp_1246
MGYG000000668	msp_0773
MGYG000002589	msp_0269
MGYG000000100	msp_0119
MGYG000003979	msp_0807
MGYG000002410	msp_1060c
MGYG000004449	msp_1283
MGYG000004329	msp_0300
MGYG000000235	msp_0865
MGYG000001171	msp_0093:0.16862518928175865,msp_0765:0.8313748107182414
MGYG000000705	msp_0567
MGYG000000743	msp_0312
MGYG000001633	msp_0261
MGYG000000973	msp_1440
MGYG000000944	msp_0584
MGYG000000339	msp_0213:0.14659783397068968,msp_0342:0.60399237807004,msp_1729:0.2494097879592703
MGYG000002024	msp_1304
MGYG000001944	msp_0994
MGYG000000730	msp_0173
MGYG000002784	msp_1361
MGYG000001676	msp_1303
MGYG000000457	msp_0716
MGYG000002173	msp_1286
MGYG000000353	msp_0614
MGYG000004010	msp_0451:0.5762081784386617,msp_1644:0.4237918215613383
MGYG000000216	msp_0756
MGYG000001155	msp_0452
MGYG000002108	msp_0651
MGYG000004740	msp_0015:0.47376959375276506,msp_0154:0.5262304062472349
MGYG000000241	msp_1848
MGYG000004194	msp_0904
MGYG000000490	msp_1509
MGYG000002379	msp_1268
MGYG000000173	msp_1156
MGYG000002432	msp_0844c
MGYG000000217	msp_0075
MGYG000000282	msp_0207
MGYG000004163	msp_0425
MGYG000004460	msp_1007
MGYG000001763	msp_0123
MGYG000002544	msp_0573
MGYG000002698	msp_1609c
MGYG000001271	msp_0771
MGYG000002295	msp_0262
MGYG000004518	msp_0897
MGYG000004409	msp_1068
MGYG000000084	msp_0374
MGYG000000678	msp_0628
MGYG000000003	msp_0196
MGYG000002167	msp_1297
MGYG000001761	msp_1060c:0.8583668201031643,msp_1520:0.14163317989683566
MGYG000000525	msp_2127
MGYG000001325	msp_1081
MGYG000002330	msp_0014
MGYG000004157	msp_1292
MGYG000000004	msp_0522
MGYG000004588	msp_0738:0.20206840037998683,msp_0894:0.2855262956160924,msp_0997:0.0965605593514954,msp_1981:0.4158447446524255
MGYG000003655	msp_1326
MGYG000000990	msp_0171:0.4568846146712729,msp_1624:0.543115385328727
MGYG000003984	msp_1202
MGYG000002456	msp_1018
MGYG000004393	msp_1366
MGYG000000631	msp_1263c
MGYG000001697	msp_0153
MGYG000001398	msp_0334
MGYG000000559	msp_0495
MGYG000004521	msp_0695
MGYG000001678	msp_2003
MGYG000002625	msp_0203
MGYG000002559	msp_0496
MGYG000000220	msp_1674
MGYG000001953	msp_0737
MGYG000004086	msp_1275
MGYG000004750	msp_0110:0.5140436333938226,msp_1087:0.4859563666061773
MGYG000002486	msp_0289
MGYG000002449	msp_0155
MGYG000001783	msp_1207
MGYG000003686	msp_0763
MGYG000000028	msp_0554
MGYG000003508	msp_0787
MGYG000001651	msp_0851
MGYG000000205	msp_0898
MGYG000001952	msp_0177
MGYG000000198	msp_0713
MGYG000004160	msp_0842
MGYG000003919	msp_0580
MGYG000000680	msp_0820
MGYG000000078	msp_0087
MGYG000001334	msp_0333
MGYG000004569	msp_1989
MGYG000000146	msp_0506
MGYG000004693	msp_1688
MGYG000004184	msp_0154
MGYG000000265	msp_0054
MGYG000000615	msp_0790
MGYG000004254	msp_1047
MGYG000000211	msp_0008:0.5471794727531759,msp_1284:0.45282052724682403
MGYG000002348	msp_1196
MGYG000000345	msp_0099
MGYG000001823	msp_0424
MGYG000001301	msp_1234
MGYG000000036	msp_0290
MGYG000001354	msp_0570
MGYG000002208	msp_1424
MGYG000003838	msp_1850
MGYG000004508	msp_1354
MGYG000002023	msp_1140
MGYG000000093	msp_0341
MGYG000001359	msp_0110
MGYG000001402	msp_0132
MGYG000000289	msp_0616
MGYG000000386	msp_0688:0.7631812302518873,msp_0699:0.23681876974811267
MGYG000001202	msp_0013
MGYG000003998	msp_1112
MGYG000003683	msp_0138
MGYG000001156	msp_0218
MGYG000000604	msp_1079
MGYG000003353	msp_1126
MGYG000004189	msp_1634
MGYG000002616	msp_0375
MGYG000001831	msp_0243
MGYG000000048	msp_0329
MGYG000001658	msp_0979
MGYG000001818	msp_1248
MGYG000002469	msp_0627
MGYG000001946	msp_1043
MGYG000003189	msp_0881
MGYG000003967	msp_0703
MGYG000000236	msp_0033
MGYG000004489	msp_1469
MGYG000000181	msp_1656
MGYG000000098	msp_1441c
MGYG000004802	msp_1545
MGYG000004805	msp_0488
MGYG000002218	msp_0143
MGYG000000047	msp_1567
MGYG000002964	msp_0903
MGYG000002819	msp_1329
MGYG000002776	msp_0457:0.2510932229647707,msp_0477:0.2703431686487325,msp_0874:0.1343750033400508,msp_1674:0.34418860504644594
MGYG000003886	msp_0800
MGYG000000131	msp_0297
MGYG000001054	msp_0913
MGYG000003595	msp_0716:0.2114015970193795,msp_0943:0.22631374286721953,msp_0959:0.5622846601134011
MGYG000003233	msp_1242
MGYG000000933	msp_0555
MGYG000000663	msp_1664
MGYG000004797	msp_0971
MGYG000000889	msp_0051
MGYG000001209	msp_1361
MGYG000002450	msp_1531c
MGYG000000840	msp_1706
MGYG000001385	msp_0318
MGYG000004456	msp_0251
MGYG000001645	msp_1662
MGYG000002321	msp_0013
MGYG000001516	msp_1773
MGYG000001120	msp_0450
MGYG000000177	msp_0258
MGYG000004215	msp_1408
MGYG000001029	msp_0285
MGYG000002297	msp_0247
MGYG000003410	msp_1166
MGYG000000176	msp_1948
MGYG000001674	msp_1316
MGYG000002312	msp_1643c
MGYG000002340	msp_0364
MGYG000001566	msp_1604
MGYG000004036	msp_1022
MGYG000000251	msp_0154
MGYG000003975	msp_0701
MGYG000003094	msp_0377
MGYG000001816	msp_0666
MGYG000000129	msp_1060c
MGYG000002622	msp_0355
MGYG000004311	msp_1288
MGYG000002193	msp_1090
MGYG000001617	msp_0086
MGYG000000568	msp_0525
MGYG000002300	msp_0363
MGYG000000052	msp_0200
MGYG000002280	msp_0705
MGYG000003943	msp_0644
MGYG000003869	msp_2142
MGYG000003937	msp_0124
MGYG000001423	msp_1351
MGYG000000271	msp_0072
MGYG000001021	msp_0325
MGYG000000076	msp_0017
MGYG000000584	msp_1474
MGYG000000027	msp_0359
MGYG000000726	msp_2014
MGYG000002990	msp_1114
MGYG000000419	msp_1243
MGYG000003837	msp_1600
MGYG000004430	msp_1560
MGYG000004289	msp_1325
MGYG000001565	msp_0654
MGYG000001342	msp_1748
MGYG000001672	msp_1328
MGYG000000966	msp_1718
MGYG000002274	msp_0457
MGYG000001397	msp_0383
MGYG000004599	msp_1904
MGYG000002523	msp_1300c
MGYG000001399	msp_0216
MGYG000002563	msp_0422
MGYG000002056	msp_0427
MGYG000000137	msp_1492
MGYG000001960	msp_0660
MGYG000003821	msp_0933
MGYG000002316	msp_1336
MGYG000000086	msp_0634
MGYG000003504	msp_0798
MGYG000000343	msp_0827
MGYG000000453	msp_0962
MGYG000002155	msp_0565
MGYG000002138	msp_0407:0.12344577676378025,msp_0769:0.0986173968507643,msp_0952:0.34814274716466137,msp_1296c:0.30123838096918537,msp_1381:0.12855569825160873
MGYG000001129	msp_0405
MGYG000003934	msp_1481
MGYG000004617	msp_0969
MGYG000000502	msp_0395
MGYG000002782	msp_1142
MGYG000001848	msp_0463
MGYG000004812	msp_1065
MGYG000004851	msp_0196:0.1757445787172392,msp_0573:0.8242554212827607
MGYG000002169	msp_1186
MGYG000003994	msp_1000
MGYG000004463	msp_0192
MGYG000000389	msp_0539
MGYG000002985	msp_0436:0.4122812241926496,msp_1643c:0.5877187758073503
MGYG000004546	msp_1733
MGYG000001440	msp_0221
MGYG000000172	msp_0360
MGYG000001809	msp_0382
MGYG000002594	msp_0146c
MGYG000002510	msp_0030:0.5276031274751948,msp_0174:0.4723968725248053
MGYG000002549	msp_0023
MGYG000002290	msp_1250
MGYG000000653	msp_0412
MGYG000001141	msp_0075:0.5601871185643095,msp_0305:0.4398128814356904
MGYG000001303	msp_0193
MGYG000001857	msp_1151
MGYG000002166	msp_0858
MGYG000000001	msp_1682c
MGYG000004337	msp_0594
MGYG000000133	msp_0052
MGYG000003818	msp_1295
MGYG000001328	msp_1046
MGYG000002926	msp_0477
MGYG000004276	msp_0988
MGYG000001556	msp_0488
MGYG000000328	msp_0031:0.7400990099009902,msp_0127:0.2599009900990099
MGYG000000603	msp_1557
MGYG000004108	msp_0679
MGYG000000956	msp_0870
MGYG000003205	msp_1690
MGYG000003740	msp_1571c
MGYG000002124	msp_0457:0.20340734548606212,msp_0850:0.3288775607016752,msp_1707:0.4677150938122626
MGYG000003299	msp_1349
MGYG000000520	msp_0783
MGYG000000071	msp_1584
MGYG000001195	msp_1487
MGYG000002716	msp_1298
MGYG000004291	msp_1789
MGYG000003695	msp_0142
MGYG000004510	msp_0738
MGYG000004117	msp_0512
MGYG000000595	msp_1051
MGYG000002982	msp_1702
MGYG000000256	msp_0662
MGYG000004770	msp_0380
MGYG000004479	msp_1843
MGYG000002061	msp_1669
MGYG000002609	msp_0077
MGYG000000699	msp_0057:0.46457607433217185,msp_0986:0.5354239256678281
MGYG000001723	msp_0541
MGYG000001214	msp_1191c
MGYG000004557	msp_0303
MGYG000001846	msp_0806
MGYG000004034	msp_1400
MGYG000003753	msp_1057c:0.2853090700766882,msp_1571c:0.7146909299233117
MGYG000004468	msp_0764
MGYG000002146	msp_0315:0.5094114369851566,msp_1415:0.49058856301484344
MGYG000000714	msp_1049
MGYG000004733	msp_0489
MGYG000003884	msp_0269
MGYG000001246	msp_0591
MGYG000000112	msp_0437c
MGYG000004447	msp_1170
MGYG000003910	msp_1312
MGYG000002154	msp_0541
MGYG000002171	msp_0438
MGYG000001627	msp_0456
MGYG000004192	msp_1420
MGYG000000365	msp_1413
MGYG000004494	msp_0845
MGYG000002395	msp_0263
MGYG000004216	msp_1290:0.35428571428571426,msp_1860:0.6457142857142857
MGYG000004248	msp_0361
MGYG000001937	msp_0802
MGYG000004789	msp_0380
MGYG000002267	msp_0085
MGYG000001180	msp_0593:0.4925116790135386,msp_0836:0.5074883209864613
MGYG000004153	msp_0613
MGYG000001379	msp_0510
MGYG000000090	msp_1323
MGYG000000120	msp_1168
MGYG000004623	msp_1718
MGYG000001561	msp_0659
MGYG000000713	msp_1917
MGYG000000208	msp_0236
MGYG000000974	msp_1330
MGYG000001254	msp_1020
MGYG000001928	msp_1512
MGYG000000447	msp_0328:0.1589696074978411,msp_0998:0.29171957055417336,msp_2003:0.5493108219479855
MGYG000003942	msp_0757
MGYG000002930	msp_0765
MGYG000002680	msp_0670
MGYG000000463	msp_1003
MGYG000000414	msp_0636
MGYG000003304	msp_0490:0.31179076274154377,msp_0807:0.21269273152477752,msp_0976:0.47551650573367865
MGYG000000021	msp_1220
MGYG000002224	msp_0690
MGYG000001945	msp_1502
MGYG000001710	msp_1525
MGYG000001978	msp_1924
MGYG000004698	msp_0789
MGYG000002444	msp_0623
MGYG000002424	msp_0735
MGYG000001689	msp_0180
MGYG000000671	msp_1153
MGYG000001838	msp_0564
MGYG000001600	msp_1627
MGYG000003957	msp_0316
MGYG000004760	msp_1621
MGYG000001057	msp_0357
MGYG000000192	msp_1556
MGYG000001396	msp_0103
MGYG000000484	msp_0294
MGYG000003689	msp_0831
MGYG000004469	msp_0951
MGYG000000067	msp_1491
MGYG000002695	msp_1705
MGYG000003960	msp_1102
MGYG000004205	msp_1273
MGYG000001206	msp_1738
MGYG000004222	msp_0961
MGYG000003973	msp_0652
MGYG000004686	msp_0030:0.36035261226112464,msp_0071:0.15750511529294187,msp_0092:0.11559306152726233,msp_0566:0.0667600629031136,msp_0615:0.29978914801555745
MGYG000004201	msp_1468
MGYG000004794	msp_1005
MGYG000004736	msp_1091
MGYG000003992	msp_0646
MGYG000001593	msp_1397c
MGYG000003222	msp_1498
MGYG000001372	msp_0097
MGYG000004088	msp_0553
MGYG000001940	msp_0752
MGYG000001006	msp_0301:0.5680878632689578,msp_0573:0.1832541494415993,msp_0769:0.24865798728944283
MGYG000003192	msp_0165
MGYG000001115	msp_1128
MGYG000002144	msp_1016
MGYG000000428	msp_1086
MGYG000000829	msp_1886
MGYG000000284	msp_0098:0.5690222714954917,msp_0156:0.4309777285045083
MGYG000000062	msp_0621
MGYG000002199	msp_1254
MGYG000000739	msp_0399:0.21320693191312548,msp_0425:0.1710290388607463,msp_0654:0.03353510565896987,msp_0874:0.2694293077943264,msp_1021:0.047336557085405115,msp_1032:0.05951086072310387,msp_1091:0.15861564087891797,msp_1347c:0.047336557085405115
MGYG000000063	msp_0104
MGYG000004145	msp_0624
MGYG000000068	msp_1381
MGYG000004490	msp_0593
MGYG000004855	msp_0780
MGYG000001774	msp_1640
MGYG000001668	msp_1147
MGYG000004059	msp_0461
MGYG000002194	msp_0400
MGYG000003658	msp_0631
MGYG000000633	msp_0255
MGYG000003962	msp_0992
MGYG000000474	msp_0121:0.12217451419530198,msp_0306:0.16527918399169442,msp_0312:0.1344046764242771,msp_0473c:0.023675500008595998,msp_0903:0.10974998732798313,msp_1062:0.11903792121792525,msp_1085:0.0766301686668758,msp_1143:0.24904804816734633
MGYG000001499	msp_1684
MGYG000001335	msp_0005:0.22094881925464524,msp_0691:0.4148819669825609,msp_1196:0.28120758814227576,msp_1268:0.08296162562051813
MGYG000002151	msp_0536:0.3470224849547529,msp_1172:0.6529775150452471
MGYG000004503	msp_1680
MGYG000002794	msp_0747
MGYG000002473	msp_0159
MGYG000000174	msp_0156
MGYG000004120	msp_1103
MGYG000001232	msp_1942
MGYG000000436	msp_0455
MGYG000003120	msp_1418c
MGYG000000707	msp_1568
MGYG000003993	msp_1841
MGYG000001500	msp_0478
MGYG000002876	msp_0315
MGYG000004694	msp_0919
MGYG000004379	msp_1138
MGYG000002281	msp_0019
MGYG000000280	msp_0576
MGYG000003324	msp_1293
MGYG000002504	msp_0108
MGYG000004039	msp_1124
MGYG000003063	msp_0382
MGYG000000045	msp_0188
MGYG000001060	msp_0215
MGYG000000466	msp_1664
MGYG000001757	msp_0451
MGYG000000417	msp_0397
MGYG000004576	msp_1146:0.5404415182321728,msp_2074:0.4595584817678272
MGYG000002580	msp_0161
MGYG000002363	msp_1754
MGYG000002511	msp_0030:0.46390342803244267,msp_0241:0.5360965719675572
MGYG000004830	msp_0684:0.38930581613508447,msp_0786:0.6106941838649156
MGYG000001665	msp_0401
MGYG000003450	msp_0798:0.6186655494631205,msp_0807:0.2655239879820128,msp_1166:0.11581046255486661
MGYG000000920	msp_1278:0.8352745424292846,msp_1715:0.16472545757071547
MGYG000001234	msp_1063c:0.4322971176420672,msp_1327:0.567702882357933
MGYG000002072	msp_0592
MGYG000002102	msp_0900
MGYG000002633	msp_0542
MGYG000001652	msp_0829
MGYG000001366	msp_1276
MGYG000004691	msp_0559
MGYG000002228	msp_0147:0.2766385560346222,msp_1845:0.7233614439653777
MGYG000004084	msp_1307
MGYG000003877	msp_0147:0.6236566628824549,msp_0513:0.37634333711754503
MGYG000000223	msp_0231
MGYG000000930	msp_0051:0.2238226481613649,msp_1433:0.0922227447867452,msp_1827:0.2155767548301773,msp_1857:0.2067997438092423,msp_1990:0.2615781084124703
MGYG000002201	msp_1717
MGYG000002480	msp_0396
MGYG000001193	msp_1270
MGYG000000867	msp_0921
MGYG000004591	msp_1156
MGYG000004554	msp_1140
MGYG000003483	msp_1075
MGYG000000322	msp_1409
MGYG000000534	msp_0257
MGYG000004388	msp_0106
MGYG000000771	msp_1410
MGYG000000740	msp_1182
MGYG000001802	msp_2066
MGYG000001955	msp_0550
MGYG000000154	msp_0057
MGYG000000748	msp_0941
MGYG000000939	msp_1319
MGYG000001252	msp_1939
MGYG000000518	msp_2009
MGYG000000539	msp_0995
MGYG000003852	msp_0768
MGYG000001733	msp_1665
MGYG000000656	msp_1373
MGYG000003009	msp_0446c
MGYG000004362	msp_1274
MGYG000001948	msp_0653
MGYG000001765	msp_0540
MGYG000004306	msp_0160:0.593489052218417,msp_0907:0.19375072151460349,msp_1308:0.21276022626697966
MGYG000003691	msp_1412
MGYG000001184	msp_1042
MGYG000000196	msp_0011
MGYG000004778	msp_1538
MGYG000002707	msp_0442
MGYG000000183	msp_0151
MGYG000002588	msp_0492
MGYG000001972	msp_1981
MGYG000001077	msp_1773
MGYG000002503	msp_1766
MGYG000002697	msp_1177
MGYG000000366	msp_1483
MGYG000000379	msp_1002
MGYG000001654	msp_0669
MGYG000001493	msp_0009
